"IP: 10.60.46.6"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.111"," Имя принтера Samsung ML-3050 Series (копия 1)","" Имя порта USB001"
"IP: 10.60.46.111"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.111"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.111"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.115"," Имя принтера Samsung ML-371x Series PCL 6","" Имя порта USB001"
"IP: 10.60.46.115"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.115"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.125"," Имя принтера Samsung ML-371x Series PCL 6","" Имя порта USB001"
"IP: 10.60.46.125"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.125"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.126"," Имя принтера Samsung ML-2850 Series PS","" Имя порта USB002"
"IP: 10.60.46.126"," Имя принтера Samsung ML-2850 Series","" Имя порта USB002"
"IP: 10.60.46.126"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.126"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.126"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
"IP: 10.60.46.129"," Имя принтера Samsung ML-3050 Series (копия 1)","" Имя порта USB002"
"IP: 10.60.46.129"," Имя принтера Samsung ML-3050 Series","" Имя порта USB001"
"IP: 10.60.46.129"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.129"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.130"," Имя принтера Samsung Universal Print Driver 2","" Имя порта USB002"
"IP: 10.60.46.133"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.133"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.147"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.147"," Имя принтера HP Universal Printing PCL 5","" Имя порта DOT4_001"
"IP: 10.60.46.147"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.151"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.151"," Имя принтера Kyocera Mita FS-1920 KX","" Имя порта USB001"
"IP: 10.60.46.151"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.152"," Имя принтера hp LaserJet 1320 series UPD PCL 5","" Имя порта DOT4_001"
"IP: 10.60.46.152"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.159"," Имя принтера hp LaserJet 1320 series UPD PCL 5","" Имя порта DOT4_001"
"IP: 10.60.46.159"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.159"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
"IP: 10.60.46.160"," Имя принтера Samsung ML-2850 Series PCL6 (копия 1)","" Имя порта USB002"
"IP: 10.60.46.160"," Имя принтера Samsung ML-2850 Series PCL6","" Имя порта USB001"
"IP: 10.60.46.160"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.160"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.160"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.161"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.161"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.161"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.161"," Имя принтера Brother HL-5340D","" Имя порта USB001"
"IP: 10.60.46.162"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.162"," Имя принтера Kyocera FS-1030D","" Имя порта USB002"
"IP: 10.60.46.162"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.164"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.164"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.164"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.165"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.165"," Имя принтера HP Universal Printing PCL 5 (v5.9.0)","" Имя порта DOT4_001"
"IP: 10.60.46.165"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.165"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
"IP: 10.60.46.172"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.172"," Имя принтера Kyocera FS-1030D","" Имя порта USB002"
"IP: 10.60.46.172"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.172"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
"IP: 10.60.46.174"," Имя принтера Samsung ML-2850 Series PCL6","" Имя порта USB002"
"IP: 10.60.46.174"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.174"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
"IP: 10.60.46.180"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.180"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.180"," Имя принтера 10.60.46.161Brother HL-5340D BR-Script3","" Имя порта USB003"
"IP: 10.60.46.180"," Имя принтера 10.60.46.185Samsung ML-2850 Series PCL6","" Имя порта USB001"
"IP: 10.60.46.181"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.181"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.181"," Имя принтера Brother HL-5250DN series","" Имя порта LPT1:"
"IP: 10.60.46.185"," Имя принтера Samsung ML-2850 Series PCL6","" Имя порта USB001"
"IP: 10.60.46.185"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.185"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.200"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.200"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.200"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
"IP: 10.60.46.201"," Имя принтера Samsung ML-371x Series PCL 6","" Имя порта USB001"
"IP: 10.60.46.201"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.201"," Имя принтера Fax","" Имя порта SHRFAX:"
